X,Y
4900,3.87132e+07
4800,3.51095e+07
4700,3.37065e+07
4600,3.24025e+07
4500,3.0142e+07
4400,2.78699e+07
4300,2.60785e+07
4200,2.54285e+07
4100,2.3987e+07
4000,2.34704e+07
3900,2.17087e+07
3800,2.08717e+07
3700,1.9709e+07
3600,1.86299e+07
3500,1.78355e+07
3400,1.6543e+07
3300,1.61892e+07
3200,1.41102e+07
3100,1.33564e+07
3000,1.30669e+07
2900,1.15773e+07
2800,1.07913e+07
2700,9.90657e+06
2600,9.15833e+06
2500,8.66475e+06
2400,7.88571e+06
2300,7.44158e+06
2200,6.6476e+06
2100,6.06326e+06
2000,5.54294e+06
1900,4.95348e+06
1800,4.43238e+06
1700,4.03315e+06
1600,3.44611e+06
1500,2.92154e+06
1400,2.56076e+06
1300,2.13948e+06
1200,1.8433e+06
1100,1.57484e+06
1000,1.26995e+06
