X,Y
475000,5.36128e+07
450000,4.47844e+07
425000,4.33615e+07
400000,4.0907e+07
375000,3.95902e+07
350000,3.88628e+07
325000,3.54779e+07
300000,2.90015e+07
275000,2.71866e+07
250000,2.57343e+07
225000,2.42852e+07
200000,1.93747e+07
175000,1.76175e+07
150000,1.56488e+07
125000,1.20134e+07
100000,1.03224e+07
